Code,Name,Type,Street 1,City,Phone,ICD-10 Effective Date
AARP,AARP,Commercial Ins,P O BOX 740819,ATLANTA,(800)523-5800,10/1/2015
AET00,AETNA,Commercial Ins,P BOX 981106,EL PASO,,10/1/2015
ALL00,ALLEGIAN,Commercial Ins,P O BOX 981637,EL PASO,(855)463-7264,10/1/2015
ALL01,ALL SAVERS,Commercial Ins,P O BOX 31375,SALT LAKE CITY,(800)291-2634,10/1/2015
AMB00,AMBETTER,Commercial Ins,P.O. BOX 5010,Farmington,(877)687-1196,10/1/2015
ASS00,ASSURED BENEFITS ADMINISTRATORS,Commercial Ins,P O BOX211517,EAGAN,(800)247-7114,10/1/2015
BCB00,BLUE CROSS BLUE SHIELD OF TEXAS,Commercial Ins,P.O. BOX 660044,DALLAS,(800)451-0287,10/1/2015
CEN00,"CENTURY HEALTHCARE, LLC",Commercial Ins,P O BOX 2256,GRAPEVINE,(877)685-2432,10/1/2015
CIG00,CIGNA-HEALTH SPRING  STAR+PLUS,Medicaid,P O BOX 981709-STAR+PLUS,EL PASO,(877)653-0327,10/1/2015
CIG01,CIGNA,Commercial Ins,P O BOX 182223,CHATTANOOGA,(800)244-6224,10/1/2015
CON00,CONTINENTAL BENEFITS,Commercial Ins,P.O. BOX  3610,BRANDON,(877)866-4843,10/1/2015
DRI00,DRISCOLL,Medicaid,P.O. BOX 3668,CORPUS CHRISTI,(877)324-3627,10/1/2015
EASTE,EASTER SEALS,Commercial Ins,P O BOX 211005,EAGEN,(855)508-5741,10/1/2015
FRA00,FRATES BENEFITS ADMINISTRATORS,Commercial Ins,P O BOX 269001,OKLAHOMA CITY,(800)850-7166,10/1/2015
GPA00,GPA,Commercial Ins,P O BOX 749075,DALLAS,(800)827-7223,10/1/2015
HEA00,HEALTH PARTNERS,Commercial Ins,P O BOX 1289,MINNEAPOLIS,(800)883-2177,10/1/2015
HEA01,HEALTH COST SOLUTIONS,Commercial Ins,P O BOX 1439,HENDERSONVILLE,(800)526-3919,10/1/2015
HUM00,HUMANA,Commercial Ins,P O BOX 14601,LEXINGTON,(866)427-7478,10/1/2015
MED00,NOVITUS SOLUTIONS,Medicare,P.O. BOX 3108,MECHANICSBURG,(855)252-8782,10/1/2015
MED01,TMHP,Medicaid,P.O. BOX 20055,AUSTIN,(800)925-9126,10/1/2015
MED02,MEDICA,Commercial Ins,P O BOX 30990,SALT LAKE CITY,(800)458-5512,10/1/2015
MER00,MERITAIN HEALTH,Commercial Ins,P O BOX 853921,RICHARDSON,(800)925-2272,10/1/2015
MOL00,MOLINA MCAID-STAR-PLUS,Medicaid,P.O. BOX  22719,LONG BEACH,(877)319-6826,10/1/2015
MOL01,MOLINA PVT,Medicaid,P O BOX 22719,LONG BEACH,(877)319-6826,10/1/2015
MOL02,MOLINA MMP,Medicare,P O BOX 22811,LONG BEACH,(866)856-8699,10/1/2015
PAI00,PAI,Commercial Ins,PO BOX 6702,COLUMBIA,(866)798-0803,10/1/2015
PEN00,PENDING MED,Other,,,,10/1/2015
PRO00,PROVIDENCE,Commercial Ins,P O BOX 211005,EAGAN,(855)508-5741,10/1/2015
SIS00,SIS (SPECIAL INSURANCE SERVICE),Other,P.O. BOX 250349,PLANO,(214)291-1222,10/1/2015
STA00,STATE FARM,Other,P O BOX 339403,GREELEY,(866)855-1212,10/1/2015
SUP00,SUPERIOR MMP,Medicare,P O BOX 3060,FARMINGTON,(866)896-1844,10/1/2015
SUP01,SUPERIOR MCAID,Medicaid,P O BOX 3003,FARMINGTON,(800)522-8923,10/1/2015
TRA00,TRANSAMERICA,Commercial Ins,P.O. BOX 3350,CEDAR RAPIDS,(888)272-9272,10/1/2015
TRI00,TRICARE SOUTH REGION,Champus,,,(866)773-0404,10/1/2015
UHC,UHC  CONNECTED (MMP),Medicare,P O BOX.31352,SALT LAKE,(888)887-9003,10/1/2015
UHC00,UHC TEXAS STAR,Medicaid,P.O. BOX 5270,KINGSTON,(800)522-8923,10/1/2015
UHC01,UHC COMMERCIAL,Commercial Ins,P.O. BOX 740800,ATLANTA,(877)842-3210,10/1/2015
UHC02,GEHA,Commercial Ins,P. O.  BOX 4665,INDEPENDENCE,(877)343-1887,10/1/2015
UHC03,UHC COMMUNITY PLAN STAR+PLUS,Medicaid,P.O. BOX 31352,SALT LAKE,(888)887-9003,10/1/2015
UHC04,UHC COMMUNITY PLAN  (CHIP),Medicaid,P.O. BOX 5270,KINGSTON,(888)887-9003,10/1/2015
UHC05,UHC (Care Improvment Plus),Medicare,P O BOX 30436,SALT LAKE CITY,(877)842-3210,10/1/2015
UMR00,UMR,Commercial Ins,P.O BOX 30541,SALT LAKE CITY,(877)233-1800,10/1/2015
UNI00,UNITEDHEALTHCARE COMPASS BALANCED,Commercial Ins,P.O. BOX 30555,SALT LAKE CITY,(877)842-3210,10/1/2015
WEA00,WEA TRUST,Commercial Ins,P O BOX 8220,MADISON,(800)279-4090,10/1/2015
WEB00,WEBTPA,Commercial Ins,P O BOX 99906,GRAPEVINE,(866)975-4525,10/1/2015
