Item,Code,Name,Street 1,Street 2,City,State,Zip Code,Phone,Extension,Fax,Contact,Plan Name,Type,Procedure Code Set,Diagnosis Code Set,Signature on File,Delay Secondary Billing,Default Billing Method,PrimaryEDIRcvr,PrimaryClaimsPayerID,EMC Extra 1,EMC Extra 2,ETS Record Code,Default Payment Code,Default Write Off Code,Default Withhold Code,Default Deductible Code,Indicator,Print PINs on Ins Form,User Code,Date Created,Physician Signature on File,Insured Signature on File,Carrier ID number,PrimaryNationalPlanID,Date Modified,Inactive,IOD,EMC Max Transactions,Default Take Back Code,Insurance Class,Complimentary_Crossover,EVPayerID,PrimaryEligibilityPayerID,PayerType,Default Billing Method 2,Default Billing Method 3,SecondaryEDIRcvr,SecondaryClaimsPayerID,SecondaryEligibilityPayerID,SecondaryNationalPlanID,SendOrderingProvider,SendPracticeTaxonomy,Note,Icd 10 Effective Date
1,AARP,AARP,P O BOX 740819,,ATLANTA,GA,30374,(800)523-5800,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,36273,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/16/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:04 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
2,AET00,AETNA,P BOX 981106,,EL PASO,TX,79998-1106,(800)245-6738,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,60054,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/14/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:05 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
3,ALL00,ALLEGIAN,P O BOX 981637,,EL PASO,TX,79998,(855)463-7264,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,82420,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/21/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:05 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
4,ALL01,ALL SAVERS,P O BOX 31375,,SALT LAKE CITY,UT,84131-0375,(800)291-2634,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,81400,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/26/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:05 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
5,AMB00,AMBETTER,P.O. BOX 5010,,Farmington,MO,63640-5010,(877)687-1196,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,68069,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:05 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION: CLAIMS,10/01/yyyy
6,ASS00,ASSURED BENEFITS ADMINISTRATORS,P O BOX211517,,EAGAN,MS,55121,(800)247-7114,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,74240,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,09/27/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:05 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,,10/01/yyyy
7,BCB00,BLUE CROSS BLUE SHIELD OF TEXAS,P.O. BOX 660044,,DALLAS,TX,75266-0044,(800)451-0287,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,84980,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/23/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION: CLAIM DEPARTMENT,10/01/yyyy
8,CEN00,"CENTURY HEALTHCARE, LLC",P O BOX 2256,,GRAPEVINE,TX,76099,(877)685-2432,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,75261,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,11/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,CLA00,,,,FALSO,FALSO,,10/01/yyyy
9,CIG00,CIGNA-HEALTH SPRING  STAR+PLUS,P O BOX 981709-STAR+PLUS,,EL PASO,TX,79998-1709,(877)653-0327,,(877)653-0331,,,Medicaid,2,3,Signature on file,FALSO,Electronic,CLA00,52192,,,,PMTCAID,ADJCAID,WOCAID,,,B,TORRES,08/19/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,GRP,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTEMENT,10/01/yyyy
10,CIG01,CIGNA,P O BOX 182223,,CHATTANOOGA,TN,37422-7223,(800)244-6224,,,,,Commercial Ins,2,3,Signature on file,FALSO,Electronic,CLA00,62308,,,,PMTPRVT,ADJPRVT,WOPRVT,,,B,TORRES,08/22/yyyy,Signature on file,Signature on file,,,06/21/yyyy 1:06 p.m.,FALSO,,0,TACKBACK,,FALSO,0,,,Paper,Paper,,,,,FALSO,FALSO,ATTENTION CLAIMS DEPARTMENT,10/01/yyyy
